group	time	sort	gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	s0	s1	s3	s5	s7
ZT0	0	AZ0	1.789999675	0.607534925	1.061523516	0.969619801	1.145165162	1.380411771	1.251272898	1.317339911	1.012541393	0.969672747	0.855655285	1.022412771	1.020160987	1.05680156	1.549385438	0.821398004	1.367852044	0.914370876
ZT0	0	AZ0	1.920003559	1.338010668	1.185670336	0.98102648	1.080492855	1.09244656	1.096655171	0.81367884	1.115320456	1.369010615	0.929056214	1.037167616	1.38124042	0.882849302	0.717263763	1.054455088	0.733777014	1.06815858
ZT0	0	AZ0	1.909997903	1.230181453	0.794522913	1.051278527	0.808183488	0.6631185	1.25093658	0.932930149	0.885497921	0.753300047	1.257937809	0.943028431	1.126545335	1.071815359	0.899832427	1.154564686	0.996315238	1.023863078
ZT3	3	BZ3	1.970004947	1.157178071	1.18265125	1.231333374	1.34306296	0.602103417	0.598385702	1.041925187	0.373201639	0.479624932	1.150325748	0.889814704	1.405928679	1.245916761	0.460872356	1.641865742	1.361252974	0.598274684
ZT3	3	BZ3	1.980008863	1.670152547	1.63547494	1.211395869	2.634395539	0.930967716	0.967229752	1.372060026	0.540895947	0.71992534	2.072927054	1.318559189	1.054441923	2.611280525	0.678044664	0.864299567	0.640354824	0.641172245
ZT3	3	BZ3	2.140010636	0.905213097	0.905571938	0.795249731	1.443151238	0.610300145	0.647749731	1.013130845	0.332375678	0.541105894	1.005483832	1.316284163	0.954485473	1.220580735	0.56945851	0.726423012	1.000803899	0.684069806
ZT6	6	CZ6	2.130645327	1.715456394	1.92610385	3.715228046	1.614200925	1.926816735	7.179589351	5.623817991	0.725875729	0.625958489	4.102875457	1.342705869	4.07330107	1.687481608	0.431539041	0.510693175	1.399281691	1.063280475
ZT6	6	CZ6	2.039990567	1.924035716	3.185302132	2.634814683	1.993667499	1.960158549	7.499734319	9.353488372	0.445852336	0.908921248	3.878528511	1.722288319	2.185935051	2.370406961	1.340593574	0.707123137	1.472141311	0.925648787
ZT6	6	CZ6	2.130014343	1.50116053	2.046660918	1.638718316	3.084704311	2.619680841	6.972261488	11.09817893	0.396892188	0.623256226	4.29663937	1.717795767	2.343030816	1.715779527	0.708050967	0.894654463	1.326422072	1.589896231
ZT9	9	DZ9	2.179987248	0.723975524	2.090604046	0.855579786	0.951471921	0.686440768	0.386502149	2.831900342	0.399286333	0.330598075	1.085686996	0.311189456	1.103429076	2.40653724	1.139299157	0.848177305	0.626017229	0.19171118
ZT9	9	DZ9	2.200010911	0.404364589	1.623409863	0.464353029	0.959161855	0.59946955	0.300196586	1.683478637	0.134045049	0.209094251	1.388278303	0.261043153	1.080774022	1.943369069	1.64748945	0.805961932	0.856441945	0.6238816
ZT9	9	DZ9	2.150001572	0.807558153	2.387420906	0.501083863	0.934201526	1.331836863	0.5415643	2.011879559	0.683386036	0.681444062	1.267934533	0.671807814	1.512129075	1.265317047	2.228386186	0.763746559	1.086866661	0.444054132
ZT12	12	EZ12	2.300009591	1.197413834	3.592764854	5.057794041	1.477544383	1.759594924	2.447894406	6.371648793	1.226041894	0.736632484	1.177484723	3.576625387	6.397418819	1.129044189	1.395542013	0.512015574	0.36281141	1.568772756
ZT12	12	EZ12	2.570008785	1.073044178	2.767736711	4.757151339	1.853737943	2.119495701	2.674886144	4.278611328	2.129092059	0.781419057	2.471125765	3.139780799	4.935895186	1.256994056	0.819129111	0.732205835	1.277686209	1.597829274
ZT12	12	EZ12	2.340003416	1.207276827	2.076618317	4.735380394	2.012193423	3.036864121	1.485881912	2.606850774	2.472234716	0.811057844	1.329548094	5.328328553	2.918785178	3.878431731	0.560925313	0.680453634	0.82024881	2.144552984
ZT15	15	FZ15	2.016869442	0.615547925	1.907079649	0.986305523	0.711175999	1.366743133	3.492296999	0.527043818	0.462781034	1.195439814	3.759226975	2.436512184	3.018204551	1.355673778	2.035621544	0.151564493	1.368928301	1.397623248
ZT15	15	FZ15	1.655915628	0.945473888	1.623158964	1.302201397	1.288957342	1.601167075	3.703248481	1.065479591	0.629802801	1.474274089	3.754051943	1.535017588	2.504975728	3.239728456	1.258072662	0.213667793	1.163403748	1.516031841
ZT15	15	FZ15	2.094843945	0.387712344	0.924490402	0.530629854	0.613471743	1.16783801	1.713452982	0.628875356	0.218753506	1.426043698	3.719422538	2.093549184	0.738407271	2.812180223	0.959181953	0.130276252	1.412225871	1.727280354
ZT18	18	GZ18	1.953512955	1.205701411	5.877656677	2.052255798	1.885803733	2.033190981	2.007000243	1.379178765	1.201787002	2.913034593	1.402303941	2.613914116	1.86445379	6.461332674	1.454711089	0.503029726	2.458536168	0.86225382
ZT18	18	GZ18	1.68362834	2.542336878	5.696402513	2.453631129	2.135335887	1.939929234	4.123374404	3.298993614	1.110607087	2.7834976	1.970461809	3.154717678	2.351399338	3.579499098	1.28978338	0.491164403	2.349533161	1.794726696
ZT18	18	GZ18	1.898074375	1.276989185	4.158961138	1.20714653	1.124431869	2.850007689	5.099252717	2.244815231	1.377016537	1.702364236	1.49735223	1.716762218	2.825673277	4.000610919	1.464526469	0.66179297	2.240530153	1.452347539
ZT21	21	HZ21	2.432689387	0.998843291	1.597509718	1.163414915	1.186905526	2.335623676	1.246084275	1.457567295	0.722802309	1.754850222	1.024815232	2.298887937	1.375369523	5.283817362	1.807307281	0.405557707	1.453542676	1.766746264
ZT21	21	HZ21	2.585403317	0.547782298	1.85610666	0.731865823	1.423359672	1.522388329	1.669881391	1.43029724	0.515909222	1.469479726	1.071936646	1.460384932	0.874606559	3.74902127	3.269355109	0.900939543	2.277829087	0.954227671
