OTUID,sort,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,ctylmlxlhl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_paurosaccharolyticus
OTU10,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__norank
OTU100,ctylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatales,f__Gemmataceae,g__norank,s__norank
OTU1000,ml,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__norank,s__norank
OTU1001,ctylmlhl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__unidentified_Chloroplast,g__unidentified_Chloroplast,s__norank
OTU1002,ml,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1003,ct,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU1004,yl,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__norank,g__norank,s__norank
OTU1005,xlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unidentified_Gammaproteobacteria,f__unidentified_Gammaproteobacteria,g__norank,s__norank
OTU1006,yl,k__Bacteria,p__unidentified_Bacteria,c__Acidobacteriae,o__Acidobacteriales,f__norank,g__norank,s__norank
OTU101,ctylmlxlhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1010,yl,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank,s__norank
OTU1011,ctmlhl,k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__Desulfobacca,s__norank
OTU1015,ct,k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,g__[Eubacterium]_nodatum_group,s__norank
OTU1017,yl,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__11-24,f__norank,g__norank,s__norank
OTU102,ylxl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__norank
OTU1022,xl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__UCG-010,g__norank,s__norank
OTU1023,hl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__norank
OTU1024,hl,k__norank,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1025,hl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank,s__norank
OTU1027,ml,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Ahniella,s__norank
OTU1029,yl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank,s__norank
OTU103,ylxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__norank,s__norank
OTU1033,yl,k__Bacteria,p__unidentified_Bacteria,c__Acidobacteriae,o__Acidobacteriales,f__norank,g__norank,s__norank
OTU1034,ml,k__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Streptobacillus,s__norank
OTU1036,ylxl,k__Bacteria,p__Planctomycetes,c__unidentified_Planctomycetes,o__Planctomycetales,f__Rubinisphaeraceae,g__SH-PL14,s__norank
OTU1037,ct,k__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank,g__norank,s__norank
OTU1039,ct,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU104,ctylmlxlhl,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__norank
OTU1040,ct,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Roseomonas,s__norank
OTU1042,ylmlxl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Competibacterales,f__Competibacteraceae,g__Candidatus_Competibacter,s__norank
OTU105,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Paludicola,s__norank
OTU1050,yl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank,s__norank
OTU1054,yl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_acetotolerans
OTU1055,ct,k__Bacteria,p__Firmicutes,c__Clostridia,o__unidentified_Clostridia,f__Ruminococcaceae,g__norank,s__norank
OTU1056,ctml,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1058,xl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__norank,s__norank
OTU1059,xl,k__Bacteria,p__unidentified_Bacteria,c__Babeliae,o__Babeliales,f__norank,g__norank,s__norank
OTU106,ylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__norank,s__norank
OTU1060,hl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Marmoricola,s__norank
OTU1062,ct,k__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__unidentified_0319-6G20,g__unidentified_0319-6G20,s\_\_bacterium\_enrichment\_culture\_clone\_B126
OTU1065,mlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__A21b,g__norank,s__norank
OTU1066,ml,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank,s__norank
OTU107,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__UCG-008,s__norank
OTU1071,mlhl,k__Bacteria,p__Acidobacteriota,c__Holophagae,o__Subgroup_7,f__norank,g__norank,s__norank
OTU1076,xl,k__Bacteria,p__unidentified_Bacteria,c__Vicinamibacteria,o__Vicinamibacterales,f__norank,g__norank,s__norank
OTU108,ylxl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_intestinalis
OTU1081,ylml,k__Bacteria,p__unidentified_Bacteria,c__Thermoleophilia,o__Gaiellales,f__norank,g__norank,s__norank
OTU1083,yl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__norank,g__norank,s__norank
OTU1085,ct,k__Bacteria,p__Desulfobacterota,c__Syntrophorhabdia,o__Syntrophorhabdales,f__Syntrophorhabdaceae,g__Syntrophorhabdus,s__norank
OTU1087,xl,k__Bacteria,p__Chlamydiae,c__unidentified_Chlamydiae,o__Chlamydiales,f__cvE6,g__norank,s__norank
OTU1088,ct,k__Bacteria,p__Candidatus_Woesebacteria,c__Microgenomatia,o__unidentified_Microgenomatia,f__unidentified_Microgenomatia,g__unidentified_Microgenomatia,s__Candidatus_Woesebacteria_bacterium_GW2011_GWF1_31_35
OTU1089,hl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Marmoricola,s__norank
OTU109,ctylmlxlhl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__norank
OTU1090,ml,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1091,ct,k__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__norank
OTU1097,yl,k__Bacteria,p__Kapabacteria,c__unidentified_Kapabacteria,o__Kapabacteriales,f__unidentified_Kapabacteriales,g__unidentified_Kapabacteriales,s__Chlorobi_bacterium_OLB6
OTU1099,ctylmlxlhl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__unidentified_Chloroplast,g__unidentified_Chloroplast,s__Solanum_torvum
OTU11,ctylmlxlhl,k__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__norank
OTU110,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank,s__norank
OTU1100,ctxlhl,k__Bacteria,p__Planctomycetes,c__unidentified_Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__norank
OTU1102,hl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,s__norank
OTU1103,hl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1104,mlxl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unidentified_Gammaproteobacteria,f__unidentified_Gammaproteobacteria,g__norank,s__norank
OTU1107,yl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Jeotgalicoccus,s__norank
OTU111,ctylmlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,g__unidentified_Mitochondria,s__norank
OTU1110,mlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Holosporales,f__Holosporaceae,g__norank,s__norank
OTU1112,ml,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1114,hl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1115,hl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Competibacterales,f__Competibacteraceae,g__Candidatus_Competibacter,s__norank
OTU1116,hl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__KF-JG30-B3,g__norank,s__norank
OTU1119,ml,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank,s__norank
OTU112,ylxl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Sutterellaceae,g__Parasutterella,s__norank
OTU1127,ml,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__TRA3-20,g__norank,s__norank
OTU113,ylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Defluviimonas,s__norank
OTU1130,ct,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillospira,s__norank
OTU1131,yl,k__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__unidentified_Oligoflexales,g__Oligoflexus,s__norank
OTU1132,yl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,g__Niveispirillum,s__norank
OTU1133,ml,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Dinghuibacter,s__norank
OTU114,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__norank,g__norank,s__norank
OTU1141,xl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__unidentified_Chloroplast,g__unidentified_Chloroplast,s__norank
OTU1144,hl,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank,g__norank,s__norank
OTU1145,hl,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank,s__norank
