OTUID,V2
OTU1,ct
OTU1,hl
OTU1,ml
OTU1,xl
OTU1,yl
OTU10,ct
OTU10,hl
OTU10,ml
OTU10,xl
OTU10,yl
OTU100,ct
OTU100,hl
OTU100,ml
OTU100,xl
OTU100,yl
OTU1000,ml
OTU1001,ct
OTU1001,hl
OTU1001,ml
OTU1001,yl
OTU1002,ml
OTU1003,ct
OTU1004,yl
OTU1005,hl
OTU1005,xl
OTU1006,yl
OTU101,ct
OTU101,hl
OTU101,ml
OTU101,xl
OTU101,yl
OTU1010,yl
OTU1011,ct
OTU1011,hl
OTU1011,ml
OTU1015,ct
OTU1017,yl
OTU102,xl
OTU102,yl
OTU1022,xl
OTU1023,hl
OTU1024,hl
OTU1025,hl
OTU1027,ml
OTU1029,yl
OTU103,hl
OTU103,xl
OTU103,yl
OTU1033,yl
OTU1034,ml
OTU1036,xl
OTU1036,yl
OTU1037,ct
OTU1039,ct
OTU104,ct
OTU104,hl
OTU104,ml
OTU104,xl
OTU104,yl
OTU1040,ct
OTU1042,ml
OTU1042,xl
OTU1042,yl
OTU105,ct
OTU105,hl
OTU105,ml
OTU105,xl
OTU105,yl
OTU1050,yl
OTU1054,yl
OTU1055,ct
OTU1056,ct
OTU1056,ml
OTU1058,xl
OTU1059,xl
OTU106,hl
OTU106,ml
OTU106,xl
OTU106,yl
OTU1060,hl
OTU1062,ct
OTU1065,hl
OTU1065,ml
OTU1066,ml
OTU107,ct
OTU107,hl
OTU107,ml
OTU107,xl
OTU107,yl
OTU1071,hl
OTU1071,ml
OTU1076,xl
OTU108,xl
OTU108,yl
OTU1081,ml
OTU1081,yl
OTU1083,yl
OTU1085,ct
OTU1087,xl
OTU1088,ct
OTU1089,hl
OTU109,ct
OTU109,hl
OTU109,ml
OTU109,xl
OTU109,yl
OTU1090,ml
OTU1091,ct
OTU1097,yl
OTU1099,ct
OTU1099,hl
OTU1099,ml
OTU1099,xl
OTU1099,yl
OTU11,ct
OTU11,hl
OTU11,ml
OTU11,xl
OTU11,yl
OTU110,ct
OTU110,hl
OTU110,ml
OTU110,xl
OTU110,yl
OTU1100,ct
OTU1100,hl
OTU1100,xl
OTU1102,hl
OTU1103,hl
OTU1104,ml
OTU1104,xl
OTU1107,yl
OTU111,ct
OTU111,hl
OTU111,ml
OTU111,yl
OTU1110,hl
OTU1110,ml
OTU1110,xl
OTU1112,ml
OTU1114,hl
OTU1115,hl
OTU1116,hl
OTU1119,ml
OTU112,xl
OTU112,yl
OTU1127,ml
OTU113,hl
OTU113,ml
OTU113,xl
OTU113,yl
OTU1130,ct
OTU1131,yl
OTU1132,yl
OTU1133,ml
OTU114,ct
OTU114,hl
OTU114,ml
OTU114,xl
OTU114,yl
OTU1141,xl
OTU1144,hl
