	Geneid	log2(fc)	logCPM	pvalue	FDR
1	OTU6	11.0382227968746	16.4657628589427	2.3816731158282e-155	2.8460993734147e-152
2	OTU23	8.06092063416843	13.4803923719335	4.81944336371536e-63	2.87961740981993e-60
3	OTU11	4.03816774067709	14.9355230437312	9.33348313997204e-59	3.71783745075553e-56
4	OTU30	7.21605293442821	13.2715276704476	1.69857884637655e-57	5.07450430354993e-55
5	OTU20	8.9299575290966	13.2402156425438	8.49885051947609e-57	2.03122527415479e-54
6	OTU24	-5.01872684417558	13.9125038839276	2.1649375015918e-51	4.31183385733701e-49
7	OTU12	8.61380711704809	12.9463967779077	1.40454551095022e-49	2.39775983655073e-47
8	OTU21	-8.40930446543969	12.94968376036	4.1291224187399e-42	6.16787661299272e-40
9	OTU16	-3.20039946759611	13.4448565704198	1.40003686882463e-28	1.85893784249492e-26
10	OTU7	-2.26994159038327	15.4914299935622	4.08499410181354e-26	4.88156795166718e-24
11	OTU1896	6.65134534782773	11.2401986877747	1.94955670290292e-17	2.11792750906271e-15
12	OTU39	4.21818590744964	11.3174444196967	1.74221814204446e-16	1.73495889978594e-14
13	OTU28	2.81855500784684	12.2276497732405	2.55346830250821e-16	2.34722663192101e-14
14	OTU33	-2.74373838954045	12.3689210532637	1.75938819288731e-15	1.50176349321453e-13
15	OTU1	1.53936335568712	17.2173976423783	2.0895515822077e-15	1.66467609382547e-13
16	OTU13	-1.66417720125082	14.2528377379794	2.3456067000158e-14	1.7518750040743e-12
17	OTU1315	-6.32005306245511	11.2272007267789	2.74243579261765e-14	1.9277710424577e-12
18	OTU35	-2.45394673905344	12.069099131873	7.33443050943744e-12	4.86924692154319e-10
19	OTU46	3.25198171116991	11.1768793017397	7.74969435569102e-12	4.87414987107935e-10
20	OTU55	-2.37382252325866	12.0891228413322	1.82773389676169e-11	1.09207100331511e-09
21	OTU254	2.20050357086286	12.0517946239915	9.38861822192459e-11	5.34257084533328e-09
22	OTU96	-3.00108675894988	11.4974405243665	1.63991292219317e-10	8.90770882736743e-09
23	OTU25	-4.48901425178637	10.9148442808104	3.16387696063339e-10	1.64384042085083e-08
24	OTU47	-2.88306100817247	11.4123756832408	3.47562383237575e-10	1.73057103320376e-08
25	OTU34	-2.28264829491732	11.941544099757	5.07460136529779e-10	2.42565945261234e-08
26	OTU949	4.10435554375362	10.7172752352634	5.42728692050199e-10	2.49446456538457e-08
27	OTU71	5.62082800081764	10.5362696883305	1.62382245569658e-09	7.1869179057682e-08
28	OTU2046	-2.32293230337743	11.7005621152051	6.59490283493333e-09	2.8146103170519e-07
29	OTU336	-3.67898742221352	10.8575272930161	1.4419013361114e-08	5.94162791949352e-07
30	OTU14	-1.12987389491541	14.7903277179743	2.12517406437959e-08	8.46527668977869e-07
31	OTU48	-3.00843119510674	10.9770052664968	3.77806149049824e-08	1.45638176811142e-06
32	OTU10	1.31910171955638	13.3890087021854	4.5625711482307e-08	1.7038351631674e-06
