	logFC	logCPM	PValue	FDR	sig	color
OTU6	11.0382228	16.46576286	2.38E-155	2.85E-152	up	alpha
OTU23	8.060920634	13.48039237	4.82E-63	2.88E-60	up	alpha
OTU11	4.038167741	14.93552304	9.33E-59	3.72E-56	up	alpha
OTU30	7.216052934	13.27152767	1.70E-57	5.07E-55	up	alpha
OTU20	8.929957529	13.24021564	8.50E-57	2.03E-54	up	alpha
OTU24	-5.018726844	13.91250388	2.16E-51	4.31E-49	down	alpha
OTU12	8.613807117	12.94639678	1.40E-49	2.40E-47	up	alpha
OTU21	-8.409304465	12.94968376	4.13E-42	6.17E-40	down	alpha
OTU16	-3.200399468	13.44485657	1.40E-28	1.86E-26	down	alpha
OTU7	-2.26994159	15.49142999	4.08E-26	4.88E-24	down	alpha
OTU1896	6.651345348	11.24019869	1.95E-17	2.12E-15	up	alpha
OTU39	4.218185907	11.31744442	1.74E-16	1.73E-14	up	alpha
OTU28	2.818555008	12.22764977	2.55E-16	2.35E-14	up	alpha
OTU33	-2.74373839	12.36892105	1.76E-15	1.50E-13	down	alpha
OTU1	1.539363356	17.21739764	2.09E-15	1.66E-13	none	none
OTU13	-1.664177201	14.25283774	2.35E-14	1.75E-12	none	none
OTU1315	-6.320053062	11.22720073	2.74E-14	1.93E-12	down	alpha
OTU35	-2.453946739	12.06909913	7.33E-12	4.87E-10	down	alpha
OTU46	3.251981711	11.1768793	7.75E-12	4.87E-10	up	alpha
OTU55	-2.373822523	12.08912284	1.83E-11	1.09E-09	down	alpha
OTU254	2.200503571	12.05179462	9.39E-11	5.34E-09	up	alpha
OTU96	-3.001086759	11.49744052	1.64E-10	8.91E-09	down	alpha
OTU25	-4.489014252	10.91484428	3.16E-10	1.64E-08	down	alpha
OTU47	-2.883061008	11.41237568	3.48E-10	1.73E-08	down	alpha
OTU34	-2.282648295	11.9415441	5.07E-10	2.43E-08	down	alpha
OTU949	4.104355544	10.71727524	5.43E-10	2.49E-08	up	alpha
OTU71	5.620828001	10.53626969	1.62E-09	7.19E-08	up	alpha
OTU2046	-2.322932303	11.70056212	6.59E-09	2.81E-07	down	alpha
OTU336	-3.678987422	10.85752729	1.44E-08	5.94E-07	down	alpha
OTU14	-1.129873895	14.79032772	2.13E-08	8.47E-07	none	none
OTU48	-3.008431195	10.97700527	3.78E-08	1.46E-06	down	alpha
OTU10	1.31910172	13.3890087	4.56E-08	1.70E-06	none	none
OTU43	-1.635878374	12.29396725	9.16E-08	3.32E-06	none	none
OTU26	1.808361345	11.92224944	1.52E-07	5.34E-06	none	none
OTU120	-4.980213513	10.37929422	3.40E-07	1.16E-05	down	alpha
OTU116	-3.089879813	10.79667327	4.05E-07	1.34E-05	down	alpha
OTU908	4.996358371	10.20630652	6.26E-07	2.02E-05	up	alpha
OTU53	5.010129373	10.21464919	1.15E-06	3.54E-05	up	alpha
OTU2260	-4.922511704	10.34902837	1.15E-06	3.54E-05	down	alpha
OTU2207	2.573184497	10.9040193	1.45E-06	4.23E-05	up	alpha
OTU52	-2.500970928	11.0169956	1.45E-06	4.23E-05	down	alpha
OTU89	-4.807562325	10.29054409	2.14E-06	6.08E-05	down	alpha
OTU32	1.496799221	12.14041287	3.58E-06	9.94E-05	none	none
OTU114	4.004610738	10.29948853	4.05E-06	0.000110053	up	alpha
OTU3	0.910211654	15.2924035	7.33E-06	0.000194643	none	none
OTU235	-4.411763504	10.10851396	2.59E-05	0.000673841	down	alpha
OTU178	-2.330880731	10.763586	2.69E-05	0.000685179	down	alpha
OTU9	0.844031396	14.73771397	4.40E-05	0.001095804	none	none
OTU656	1.10038672	12.29080738	7.96E-05	0.001940439	none	none
