	Geneid	log2(fc)	logCPM	pvalue	FDR
1	OTU3	4.03856922323497	17.5104418748314	9.03368370581215e-77	1.07952520284455e-73
2	OTU11	4.34471828439333	14.8089188060552	9.81643663104075e-66	3.9102139246979e-63
3	OTU9	3.7334813214856	16.6910563741849	8.83478214907844e-66	3.9102139246979e-63
4	OTU23	7.97276414114362	13.0172229551068	2.28658150454429e-53	6.83116224482606e-51
5	OTU20	8.81892969343432	12.8405197914927	8.2576939998179e-50	1.97358886595648e-47
6	OTU30	7.15163168670343	12.7234226867975	1.07372279500306e-47	2.13849790004776e-45
7	OTU1	2.92486681221018	17.9987556131136	1.8457169693687e-47	3.15090254056514e-45
8	OTU1564	4.69963486483995	12.4013455569915	1.40755780275923e-37	2.10253946787161e-35
9	OTU656	3.41287983169065	13.551234092762	2.35481849985357e-37	3.12667567480557e-35
10	OTU21	-8.16717173017389	12.7605024153387	4.51286161703028e-33	5.39286963235119e-31
11	OTU6	6.79383925613765	11.8688037596906	1.71733396130198e-29	1.86564916705079e-27
12	OTU24	-3.2917988762903	13.7544036528727	1.01089958271489e-27	1.00668750112025e-25
13	OTU38	3.77746264334421	12.133341911885	5.47077537311041e-26	5.02890505451303e-24
14	OTU16	-3.05795536577113	13.2307234627342	6.50119094349411e-23	5.5492308410539e-21
15	OTU4	-1.46769509308544	16.722419236346	4.67075650184462e-14	3.72103601313622e-12
16	OTU1896	6.53628892222857	10.8378940357573	7.31683875152483e-14	5.46476394254511e-12
17	OTU1099	3.78878108220867	11.1197936567687	1.306730778034e-13	9.1855487044155e-12
18	OTU252	4.67555419793334	10.6417467512387	3.65903787438891e-13	2.42919458883042e-11
19	OTU1315	-6.08047121198131	11.0928984485797	4.98553806363513e-11	3.13564104528631e-09
20	OTU8	-2.07960214220662	12.7552851969766	4.05262305737058e-10	2.42144227677892e-08
21	OTU71	5.87564872683897	10.3901494113026	5.11490397330596e-10	2.91062392766696e-08
22	OTU28	2.40309979933936	11.4748300887504	1.16570049822542e-09	6.33187316081533e-08
23	OTU91	3.30826308885121	10.661056820909	3.01321658441744e-09	1.56556252972993e-07
24	OTU13	-1.27899755885813	14.0558782525826	1.98918325972588e-08	9.90447498071846e-07
25	OTU80	3.65156641741012	10.3322876865517	4.3928670643581e-08	2.09979045676317e-06
26	OTU68	2.75985009318947	10.8072231392636	9.90647554212279e-08	4.55316856647567e-06
27	OTU73	3.38659185357278	10.3919060949786	2.36188027773466e-07	1.0453507155159e-05
28	OTU79	2.56556614638632	10.6903298195971	4.09930436038453e-07	1.74952453952125e-05
29	OTU67	3.1277868029472	10.2720103173204	1.29269426635711e-06	5.32679189067842e-05
30	OTU63	3.48324362035263	10.2631738600165	4.05217714166248e-06	0.000156204893041505
31	OTU39	2.89777392785903	10.1621707898789	4.05217714166248e-06	0.000156204893041505
32	OTU2207	2.62163643019595	10.5403588395175	1.26482071869083e-05	0.000472331487136106
33	OTU173	2.66283919839924	10.2126383828397	2.52381241735432e-05	0.000913926011738913
34	OTU22	1.37003483582032	11.9168612708692	3.24236954468707e-05	0.00113959753114737
35	OTU25	1.41784082784697	11.7823993112435	3.61699669237159e-05	0.0012349460135383
36	OTU120	-4.74573087752868	10.262840913424	4.06085484057352e-05	0.00134797820402371
37	OTU15	1.15066140859573	12.3947603340961	4.26664219066931e-05	0.00137801011293238
38	OTU35	-1.53431481853787	11.9876810103329	5.07051841933942e-05	0.001594544608187
39	OTU33	-1.36694245146207	12.3513615800866	6.02570689674655e-05	0.00180017993540303
40	OTU96	-1.75253583977522	11.4288808070132	6.02433672210337e-05	0.00180017993540303
