	logFC	logCPM	PValue	FDR	sig	color
OTU3	4.038569223	17.51044187	9.03E-77	1.08E-73	up	alpha
OTU11	4.344718284	14.80891881	9.82E-66	3.91E-63	up	alpha
OTU9	3.733481321	16.69105637	8.83E-66	3.91E-63	up	alpha
OTU23	7.972764141	13.01722296	2.29E-53	6.83E-51	up	alpha
OTU20	8.818929693	12.84051979	8.26E-50	1.97E-47	up	alpha
OTU30	7.151631687	12.72342269	1.07E-47	2.14E-45	up	alpha
OTU1	2.924866812	17.99875561	1.85E-47	3.15E-45	up	alpha
OTU1564	4.699634865	12.40134556	1.41E-37	2.10E-35	up	alpha
OTU656	3.412879832	13.55123409	2.35E-37	3.13E-35	up	alpha
OTU21	-8.16717173	12.76050242	4.51E-33	5.39E-31	down	alpha
OTU6	6.793839256	11.86880376	1.72E-29	1.87E-27	up	alpha
OTU24	-3.291798876	13.75440365	1.01E-27	1.01E-25	down	alpha
OTU38	3.777462643	12.13334191	5.47E-26	5.03E-24	up	alpha
OTU16	-3.057955366	13.23072346	6.50E-23	5.55E-21	down	alpha
OTU4	-1.467695093	16.72241924	4.67E-14	3.72E-12	none	none
OTU1896	6.536288922	10.83789404	7.32E-14	5.46E-12	up	alpha
OTU1099	3.788781082	11.11979366	1.31E-13	9.19E-12	up	alpha
OTU252	4.675554198	10.64174675	3.66E-13	2.43E-11	up	alpha
OTU1315	-6.080471212	11.09289845	4.99E-11	3.14E-09	down	alpha
OTU8	-2.079602142	12.7552852	4.05E-10	2.42E-08	down	alpha
OTU71	5.875648727	10.39014941	5.11E-10	2.91E-08	up	alpha
OTU28	2.403099799	11.47483009	1.17E-09	6.33E-08	up	alpha
OTU91	3.308263089	10.66105682	3.01E-09	1.57E-07	up	alpha
OTU13	-1.278997559	14.05587825	1.99E-08	9.90E-07	none	none
OTU80	3.651566417	10.33228769	4.39E-08	2.10E-06	up	alpha
OTU68	2.759850093	10.80722314	9.91E-08	4.55E-06	up	alpha
OTU73	3.386591854	10.39190609	2.36E-07	1.05E-05	up	alpha
OTU79	2.565566146	10.69032982	4.10E-07	1.75E-05	up	alpha
OTU67	3.127786803	10.27201032	1.29E-06	5.33E-05	up	alpha
OTU63	3.48324362	10.26317386	4.05E-06	0.000156205	up	alpha
OTU39	2.897773928	10.16217079	4.05E-06	0.000156205	up	alpha
OTU2207	2.62163643	10.54035884	1.26E-05	0.000472331	up	alpha
OTU173	2.662839198	10.21263838	2.52E-05	0.000913926	up	alpha
OTU22	1.370034836	11.91686127	3.24E-05	0.001139598	none	none
OTU25	1.417840828	11.78239931	3.62E-05	0.001234946	none	none
OTU120	-4.745730878	10.26284091	4.06E-05	0.001347978	down	alpha
OTU15	1.150661409	12.39476033	4.27E-05	0.00137801	none	none
OTU35	-1.534314819	11.98768101	5.07E-05	0.001594545	none	none
OTU33	-1.366942451	12.35136158	6.03E-05	0.00180018	none	none
OTU96	-1.75253584	11.42888081	6.02E-05	0.00180018	none	none
OTU58	-4.738635426	10.25850502	7.25E-05	0.002113203	down	alpha
OTU2046	-1.488920549	11.6070832	9.67E-05	0.002751571	none	none
OTU7	-0.779382884	15.53645242	0.000102542	0.002849712	none	none
OTU1001	2.898526478	10.32615645	0.000109451	0.002972588	up	alpha
OTU19	1.071880344	12.82918185	0.000164558	0.004369936	none	none
OTU89	-4.574142979	10.17553537	0.000231833	0.006022617	down	alpha
OTU36	-1.28325655	11.71155924	0.000250798	0.006376674	none	none
OTU32	1.323123944	11.64230411	0.000478666	0.011916779	none	none
OTU254	1.410992327	11.18365235	0.001266063	0.030876442	none	none
OTU235	-4.181505867	9.99823831	0.001331087	0.03181298	down	alpha
OTU178	-2.009114822	10.62713734	0.001684773	0.039476538	down	alpha
OTU1308	2.429342957	10.12665327	0.002250583	0.051279097	none	none
OTU98	-1.273856877	11.29746185	0.002274303	0.051279097	none	none
OTU82	2.881079244	9.830787506	0.004262643	0.093031029	none	none
OTU140	-3.573869648	9.76210203	0.004515314	0.093031029	none	none
OTU1591	-3.57420541	9.76230654	0.004515314	0.093031029	none	none
OTU208	-3.574470268	9.762697895	0.004515314	0.093031029	none	none
OTU242	-3.586659854	9.769987031	0.004515314	0.093031029	none	none
OTU43	-0.845418394	12.21216286	0.004992982	0.101129035	none	none
OTU64	-1.865710773	10.55665232	0.008328282	0.160836336	none	none
OTU777	-3.442039413	9.717477596	0.00874842	0.160836336	none	none
OTU149	-3.447022641	9.720523244	0.00874842	0.160836336	none	none
OTU263	-3.454611596	9.725215559	0.00874842	0.160836336	none	none
OTU317	-3.45586582	9.726033385	0.00874842	0.160836336	none	none
OTU159	-3.570688894	9.760204068	0.00874842	0.160836336	none	none
OTU45	-1.04515293	11.30410905	0.00973357	0.176236608	none	none
OTU54	-0.914126862	11.36929853	0.012844733	0.229096364	none	none
OTU31	-1.236595825	11.209222	0.014225537	0.249992887	none	none
OTU213	3.938066673	9.60283182	0.017014644	0.274763501	none	none
OTU14	-0.486269333	14.68871739	0.016928906	0.274763501	none	none
OTU116	-1.396958202	10.77007487	0.015950466	0.274763501	none	none
OTU1277	-3.429803576	9.710317897	0.017014644	0.274763501	none	none
OTU162	-3.434441864	9.713034547	0.017014644	0.274763501	none	none
OTU176	-3.442803549	9.717966202	0.017014644	0.274763501	none	none
OTU48	-1.313761092	10.96223156	0.017767087	0.283088922	none	none
OTU422	1.264596074	10.78062551	0.019353263	0.304304599	none	none
OTU29	-1.243096916	10.93064556	0.023613517	0.36646952	none	none
OTU413	3.733807314	9.554013082	0.033219066	0.46286167	none	none
OTU908	3.24425761	9.463602313	0.033219066	0.46286167	none	none
OTU202	2.51945134	9.555093984	0.033219066	0.46286167	none	none
OTU55	-0.669294374	12.15808393	0.031563672	0.46286167	none	none
OTU164	-1.696017174	10.26070414	0.033310547	0.46286167	none	none
OTU81	-1.71564379	10.27260559	0.033310547	0.46286167	none	none
OTU150	-3.149967128	9.630496673	0.033219066	0.46286167	none	none
OTU170	-3.152965152	9.632267968	0.033219066	0.46286167	none	none
OTU359	-3.15297033	9.632238731	0.033219066	0.46286167	none	none
OTU34	-0.676181012	11.99236056	0.034886135	0.479183115	none	none
OTU336	-1.175063423	10.88920398	0.035925416	0.487850818	none	none
OTU156	2.162226712	9.790474097	0.043338731	0.570846536	none	none
OTU147	-1.497924917	10.3646206	0.043470322	0.570846536	none	none
OTU215	-1.703442307	9.730858607	0.042613271	0.570846536	none	none
OTU52	-0.934376066	11.01721024	0.052027622	0.675793572	none	none
OTU113	3.217635752	9.454833187	0.065109369	0.760801394	none	none
OTU325	3.215986888	9.454299707	0.065109369	0.760801394	none	none
OTU118	1.433599445	9.829071788	0.064553694	0.760801394	none	none
OTU47	-0.779804694	11.48949544	0.064629084	0.760801394	none	none
OTU66	-0.995735234	10.56441471	0.06557535	0.760801394	none	none
OTU155	-2.793383052	9.54273491	0.065109369	0.760801394	none	none
OTU351	-2.968615333	9.578841692	0.065109369	0.760801394	none	none
OTU216	-2.969396218	9.57927738	0.065109369	0.760801394	none	none
OTU195	-2.969736215	9.579485027	0.065109369	0.760801394	none	none
OTU165	-2.97852101	9.584712518	0.065109369	0.760801394	none	none
OTU177	-2.981108669	9.586238469	0.065109369	0.760801394	none	none
OTU267	1.809944643	9.705592092	0.071494278	0.81367297	none	none
OTU129	-2.152316773	9.869085155	0.071494278	0.81367297	none	none
OTU94	-1.270975994	10.25074882	0.07398735	0.834102674	none	none
OTU282	-1.812972184	9.755291883	0.074878209	0.83625663	none	none
OTU1490	3.207822784	9.451646564	0.128118437	1	none	none
OTU204	3.207081236	9.451407739	0.128118437	1	none	none
OTU230	3.207081236	9.451407739	0.128118437	1	none	none
OTU232	3.207081236	9.451407739	0.128118437	1	none	none
OTU789	3.207081236	9.451407739	0.128118437	1	none	none
OTU214	2.873900866	9.406575279	0.128118437	1	none	none
OTU226	2.859892267	9.401988989	0.128118437	1	none	none
OTU335	2.859561073	9.40189042	0.128118437	1	none	none
OTU605	2.855032613	9.400441044	0.128118437	1	none	none
OTU479	2.854917599	9.400402304	0.128118437	1	none	none
OTU90	2.845685974	9.397383388	0.253112033	1	none	none
OTU212	2.845685974	9.397383388	0.253112033	1	none	none
OTU467	2.845685974	9.397383388	0.253112033	1	none	none
OTU863	2.845685974	9.397383388	0.253112033	1	none	none
OTU947	2.845685974	9.397383388	0.253112033	1	none	none
OTU968	2.845685974	9.397383388	0.253112033	1	none	none
OTU2305	2.845685974	9.397383388	0.253112033	1	none	none
OTU471	2.378902986	9.347444326	0.253112033	1	none	none
OTU306	2.378786947	9.347405591	0.253112033	1	none	none
OTU311	2.378786947	9.347405591	0.253112033	1	none	none
OTU610	2.373731567	9.345750666	0.253112033	1	none	none
OTU1692	2.371991942	9.345194868	0.253112033	1	none	none
OTU419	2.369531157	9.344420254	0.253112033	1	none	none
OTU2150	2.366729543	9.343465232	0.502074689	1	none	none
OTU453	2.364998049	9.342910286	0.502074689	1	none	none
OTU809	2.364998049	9.342910286	0.502074689	1	none	none
OTU568	2.364660043	9.342811367	0.502074689	1	none	none
OTU981	2.364660043	9.342811367	0.502074689	1	none	none
OTU1453	2.364660043	9.342811367	0.502074689	1	none	none
OTU157	2.362930908	9.342256654	0.502074689	1	none	none
OTU888	2.36086656	9.341603288	0.502074689	1	none	none
OTU1034	2.36086656	9.341603288	0.502074689	1	none	none
OTU1888	2.36086656	9.341603288	0.502074689	1	none	none
OTU250	2.360484832	9.341483516	0.502074689	1	none	none
OTU337	2.360484832	9.341483516	0.502074689	1	none	none
OTU964	2.360484832	9.341483516	0.502074689	1	none	none
OTU280	2.3601032	9.341363752	0.502074689	1	none	none
OTU401	2.3601032	9.341363752	0.502074689	1	none	none
OTU572	2.3601032	9.341363752	0.502074689	1	none	none
OTU612	2.3601032	9.341363752	0.502074689	1	none	none
OTU891	2.3601032	9.341363752	0.502074689	1	none	none
OTU956	2.3601032	9.341363752	0.502074689	1	none	none
OTU1081	2.3601032	9.341363752	0.502074689	1	none	none
OTU1205	2.3601032	9.341363752	0.502074689	1	none	none
OTU1268	2.3601032	9.341363752	0.502074689	1	none	none
OTU1292	2.3601032	9.341363752	0.502074689	1	none	none
OTU1334	2.3601032	9.341363752	0.502074689	1	none	none
OTU1706	2.3601032	9.341363752	0.502074689	1	none	none
OTU2044	2.3601032	9.341363752	0.502074689	1	none	none
OTU2202	2.3601032	9.341363752	0.502074689	1	none	none
OTU2251	2.3601032	9.341363752	0.502074689	1	none	none
OTU678	2.246944301	9.510692712	0.130445601	1	none	none
OTU197	1.942078849	9.59792788	0.130445601	1	none	none
OTU107	1.938179753	9.60339819	0.130445601	1	none	none
OTU125	1.872734599	9.453183621	0.380154705	1	none	none
OTU207	1.864500487	9.448285778	0.253112033	1	none	none
OTU1352	1.864066937	9.450344133	0.628092823	1	none	none
OTU104	1.759308938	9.691069766	0.187805489	1	none	none
OTU677	1.666330193	9.786818875	0.100990565	1	none	none
OTU184	1.62837691	9.286248564	0.502074689	1	none	none
OTU289	1.62837691	9.286248564	0.502074689	1	none	none
OTU462	1.62837691	9.286248564	0.502074689	1	none	none
OTU507	1.62837691	9.286248564	0.502074689	1	none	none
OTU676	1.62837691	9.286248564	0.502074689	1	none	none
OTU712	1.62837691	9.286248564	0.502074689	1	none	none
OTU919	1.62837691	9.286248564	0.502074689	1	none	none
OTU1104	1.62837691	9.286248564	0.502074689	1	none	none
OTU1274	1.62837691	9.286248564	0.502074689	1	none	none
OTU1610	1.62837691	9.286248564	0.502074689	1	none	none
OTU17	1.628261317	9.286210002	0.502074689	1	none	none
OTU174	1.628261317	9.286210002	0.502074689	1	none	none
OTU236	1.628261317	9.286210002	0.502074689	1	none	none
OTU327	1.628261317	9.286210002	0.502074689	1	none	none
OTU555	1.628261317	9.286210002	0.502074689	1	none	none
OTU748	1.628261317	9.286210002	0.502074689	1	none	none
OTU1826	1.628261317	9.286210002	0.502074689	1	none	none
OTU193	1.623091501	9.284521973	1	1	none	none
OTU269	1.623091501	9.284521973	1	1	none	none
OTU409	1.623091501	9.284521973	1	1	none	none
OTU487	1.623091501	9.284521973	1	1	none	none
OTU497	1.623091501	9.284521973	1	1	none	none
OTU753	1.623091501	9.284521973	1	1	none	none
OTU928	1.623091501	9.284521973	1	1	none	none
OTU1027	1.623091501	9.284521973	1	1	none	none
OTU1042	1.623091501	9.284521973	1	1	none	none
OTU1715	1.623091501	9.284521973	1	1	none	none
OTU182	1.621344197	9.283967191	1	1	none	none
OTU241	1.621344197	9.283967191	1	1	none	none
OTU329	1.621344197	9.283967191	1	1	none	none
OTU473	1.621344197	9.283967191	1	1	none	none
OTU549	1.621344197	9.283967191	1	1	none	none
OTU733	1.621344197	9.283967191	1	1	none	none
OTU781	1.621344197	9.283967191	1	1	none	none
OTU842	1.621344197	9.283967191	1	1	none	none
OTU899	1.621344197	9.283967191	1	1	none	none
OTU925	1.621344197	9.283967191	1	1	none	none
OTU1210	1.621344197	9.283967191	1	1	none	none
OTU1408	1.621344197	9.283967191	1	1	none	none
OTU1479	1.621344197	9.283967191	1	1	none	none
OTU1548	1.621344197	9.283967191	1	1	none	none
OTU1621	1.621344197	9.283967191	1	1	none	none
OTU1904	1.621344197	9.283967191	1	1	none	none
OTU2013	1.621344197	9.283967191	1	1	none	none
OTU220	1.619252837	9.283313245	1	1	none	none
OTU411	1.619252837	9.283313245	1	1	none	none
OTU435	1.619252837	9.283313245	1	1	none	none
OTU447	1.619252837	9.283313245	1	1	none	none
OTU459	1.619252837	9.283313245	1	1	none	none
OTU468	1.619252837	9.283313245	1	1	none	none
OTU506	1.619252837	9.283313245	1	1	none	none
OTU604	1.619252837	9.283313245	1	1	none	none
OTU737	1.619252837	9.283313245	1	1	none	none
OTU775	1.619252837	9.283313245	1	1	none	none
OTU882	1.619252837	9.283313245	1	1	none	none
OTU900	1.619252837	9.283313245	1	1	none	none
OTU946	1.619252837	9.283313245	1	1	none	none
OTU963	1.619252837	9.283313245	1	1	none	none
OTU1133	1.619252837	9.283313245	1	1	none	none
OTU1291	1.619252837	9.283313245	1	1	none	none
OTU1624	1.619252837	9.283313245	1	1	none	none
OTU1679	1.619252837	9.283313245	1	1	none	none
OTU1772	1.619252837	9.283313245	1	1	none	none
OTU1925	1.619252837	9.283313245	1	1	none	none
OTU1991	1.619252837	9.283313245	1	1	none	none
OTU2257	1.619252837	9.283313245	1	1	none	none
OTU106	1.61886548	9.283193307	1	1	none	none
OTU219	1.61886548	9.283193307	1	1	none	none
OTU223	1.61886548	9.283193307	1	1	none	none
OTU302	1.61886548	9.283193307	1	1	none	none
OTU388	1.61886548	9.283193307	1	1	none	none
OTU408	1.61886548	9.283193307	1	1	none	none
OTU424	1.61886548	9.283193307	1	1	none	none
