	logFC	logCPM	PValue	FDR	sig	color
OTU12	10.75991259	15.09314493	2.11E-109	2.52E-106	up	alpha
OTU24	-3.52824019	14.03918868	1.59E-39	9.49E-37	down	alpha
OTU8	2.777813579	15.47760734	4.54E-37	1.81E-34	up	alpha
OTU17	7.90394108	12.28678619	1.92E-35	5.68E-33	up	alpha
OTU10	2.883575956	14.63517214	2.38E-35	5.68E-33	up	alpha
OTU4	-2.172535548	16.93817343	1.72E-27	3.42E-25	down	alpha
OTU949	5.64632546	11.92557053	1.28E-25	2.18E-23	up	alpha
OTU11	2.48809358	13.6214788	1.86E-22	2.78E-20	up	alpha
OTU1	1.81472454	17.53784899	1.59E-20	2.11E-18	none	none
OTU53	6.882274108	11.44797577	2.27E-20	2.71E-18	up	alpha
OTU6	5.484969963	11.27271484	1.95E-17	2.12E-15	up	alpha
OTU13	-1.875841254	14.27923229	1.73E-16	1.72E-14	none	none
OTU33	-2.516265024	12.38863461	1.53E-14	1.41E-12	down	alpha
OTU26	2.481916207	12.47231847	1.77E-14	1.51E-12	up	alpha
OTU14	-1.59222588	14.74475628	1.25E-13	9.97E-12	none	none
OTU97	6.027327337	10.81900736	1.87E-12	1.40E-10	up	alpha
OTU5	1.352629919	16.18773116	1.11E-11	7.82E-10	none	none
OTU128	5.935825191	10.7735883	1.71E-11	1.13E-09	up	alpha
OTU28	2.435402552	12.00060203	1.90E-11	1.19E-09	up	alpha
OTU677	3.74957717	11.08441948	8.61E-11	5.15E-09	up	alpha
OTU34	-2.430000293	11.98303847	1.77E-10	1.01E-08	down	alpha
OTU35	-2.080836986	12.12795733	3.72E-10	2.02E-08	down	alpha
OTU115	5.554785991	10.53048942	1.62E-09	8.09E-08	up	alpha
OTU31	-3.378910906	11.21062506	1.60E-09	8.09E-08	down	alpha
OTU47	-2.926429141	11.43632019	1.95E-09	9.32E-08	down	alpha
OTU32	1.818340379	12.41420334	4.81E-09	2.21E-07	none	none
OTU96	-2.581772792	11.5651764	5.19E-09	2.30E-07	down	alpha
OTU46	2.813353776	10.96264448	2.53E-08	1.08E-06	up	alpha
OTU9	1.116182034	14.94801364	6.70E-08	2.76E-06	none	none
OTU52	-3.070214188	11.00399504	1.62E-07	6.45E-06	down	alpha
OTU336	-3.280356787	10.89385541	2.60E-07	1.00E-05	down	alpha
OTU116	-3.599541017	10.78789877	4.05E-07	1.51E-05	down	alpha
OTU254	1.830005968	11.87864523	4.43E-07	1.61E-05	none	none
OTU98	-2.454359417	11.38204452	4.63E-07	1.63E-05	down	alpha
OTU55	-1.642752458	12.19599207	1.75E-06	5.97E-05	none	none
OTU43	-1.426930665	12.37984041	2.79E-06	9.26E-05	none	none
OTU15	1.232146962	12.88623073	3.39E-06	0.000109493	none	none
OTU45	-1.949368416	11.41542608	3.64E-06	0.000114468	none	none
OTU74	4.865809726	10.17734179	3.97E-06	0.000121622	up	alpha
OTU18	1.266348758	12.64240016	4.96E-06	0.000148052	none	none
OTU94	-4.745988717	10.25645278	7.40E-06	0.000215565	down	alpha
OTU2046	-1.51090752	11.85489826	7.60E-06	0.000216297	none	none
OTU2	0.870396918	16.21627886	8.38E-06	0.000227498	none	none
OTU48	-2.312438065	11.0390746	8.35E-06	0.000227498	down	alpha
OTU106	4.795707752	10.14573612	1.38E-05	0.000359207	up	alpha
OTU57	-2.322595901	10.88893041	1.36E-05	0.000359207	down	alpha
OTU178	-2.66557619	10.76411691	1.69E-05	0.000430919	down	alpha
OTU1270	-1.420341304	11.94893735	3.43E-05	0.000853651	none	none
OTU147	-2.980039497	10.44082069	4.33E-05	0.001056303	down	alpha
OTU22	1.185633113	12.2564959	9.11E-05	0.002177357	none	none
OTU99	2.670652878	10.45388263	0.000109451	0.002564586	up	alpha
OTU481	-3.341739909	10.25406507	0.00012959	0.002978077	down	alpha
OTU235	-3.107539863	10.1530869	0.000231833	0.005227177	down	alpha
OTU656	1.038859515	12.30584641	0.000255891	0.005662775	none	none
OTU66	-2.105587431	10.62311758	0.000269472	0.005854889	down	alpha
OTU29	1.234479578	12.09886872	0.000310217	0.006515903	none	none
OTU54	-1.329127784	11.54802198	0.0003108	0.006515903	none	none
OTU908	4.164983156	9.899240154	0.000332547	0.006851608	up	alpha
OTU1213	1.580284399	11.00065219	0.000341499	0.006916798	none	none
OTU60	2.210310861	10.40067496	0.000371315	0.007395356	up	alpha
OTU7	-0.676001399	15.8970251	0.000574647	0.011257436	none	none
OTU102	4.172580875	9.902531148	0.000634862	0.01185406	up	alpha
OTU108	4.172580875	9.902531148	0.000634862	0.01185406	up	alpha
OTU238	-4.044908244	9.958495648	0.000634862	0.01185406	down	alpha
OTU255	-2.750742892	10.33506742	0.000827995	0.015222377	down	alpha
