	logFC	logCPM	PValue	FDR	sig	color
OTU17	8.553973124	12.93789979	2.72E-48	3.25E-45	up	alpha
OTU12	8.121230587	12.53190381	1.13E-39	6.77E-37	up	alpha
OTU24	-3.432062133	14.04168618	2.68E-37	1.07E-34	down	alpha
OTU10	2.839543999	14.59133041	2.85E-34	8.50E-32	up	alpha
OTU4	-2.388219705	16.89370419	7.98E-32	1.91E-29	down	alpha
OTU2	2.179047529	17.16737911	5.33E-28	1.06E-25	up	alpha
OTU16	-2.187802837	13.57874017	3.05E-17	5.21E-15	down	alpha
OTU8	1.823537673	14.69516051	6.30E-17	9.41E-15	none	none
OTU25	2.35392166	12.84358622	7.11E-17	9.44E-15	up	alpha
OTU40	3.256409596	11.59384449	1.66E-14	1.98E-12	up	alpha
OTU33	-2.724172635	12.36862693	2.03E-14	2.21E-12	down	alpha
OTU1	1.446214561	17.25078763	9.23E-14	9.19E-12	none	none
OTU949	4.561289715	11.05585256	1.24E-13	1.14E-11	up	alpha
OTU6	5.024543484	10.93473144	3.66E-13	3.06E-11	up	alpha
OTU15	1.857336665	13.29825899	3.84E-13	3.06E-11	none	none
OTU115	6.130186518	10.89987676	6.29E-13	4.70E-11	up	alpha
OTU22	1.977074289	12.76219972	2.48E-12	1.75E-10	none	none
OTU3	1.36145251	15.62098041	1.68E-11	1.09E-09	none	none
OTU13	-1.509585531	14.35263955	1.73E-11	1.09E-09	none	none
OTU19	1.564705213	13.55702145	1.57E-10	9.37E-09	none	none
OTU34	-2.47749293	11.97584595	1.77E-10	1.01E-08	down	alpha
OTU18	1.675865253	12.90281909	7.12E-10	3.87E-08	none	none
OTU5	1.20426239	16.07010719	1.34E-09	6.95E-08	none	none
OTU26	1.989775523	12.09155512	2.50E-09	1.24E-07	none	none
OTU43	-1.903329774	12.28325076	3.11E-09	1.49E-07	none	none
OTU98	-2.965097972	11.33495952	6.84E-09	3.14E-07	down	alpha
OTU47	-2.560043612	11.46529087	1.80E-08	7.96E-07	down	alpha
OTU97	5.409156177	10.45247829	3.07E-08	1.31E-06	up	alpha
OTU21	-1.361160954	13.37609635	3.20E-08	1.32E-06	none	none
OTU14	-1.173787051	14.84736977	3.85E-08	1.53E-06	none	none
OTU76	3.12285202	10.66140149	1.19E-07	4.58E-06	up	alpha
OTU74	5.243855997	10.36296416	1.86E-07	6.93E-06	up	alpha
OTU92	3.682441819	10.51082628	2.36E-07	8.55E-06	up	alpha
OTU103	4.991044973	10.23557086	2.14E-06	7.51E-05	up	alpha
OTU55	-1.581109634	12.19895078	2.22E-06	7.58E-05	none	none
OTU96	-1.905579573	11.64301299	2.61E-06	8.66E-05	none	none
OTU11	1.243180227	12.71190732	4.71E-06	0.000151998	none	none
OTU35	-1.467497158	12.23593169	5.55E-06	0.000174647	none	none
OTU124	4.771061932	10.1342235	1.38E-05	0.00042368	up	alpha
OTU45	-1.903747	11.42154517	1.61E-05	0.000479892	none	none
OTU102	4.67947663	10.09448579	2.59E-05	0.000720853	up	alpha
OTU148	4.601786646	10.06230907	2.59E-05	0.000720853	up	alpha
OTU235	-4.422460411	10.12286706	2.59E-05	0.000720853	down	alpha
OTU677	2.732669019	10.47814431	3.95E-05	0.001073935	up	alpha
OTU1270	-1.4787084	11.93450769	4.40E-05	0.00116797	none	none
OTU53	4.494297531	10.01863916	9.22E-05	0.002395879	up	alpha
OTU36	-1.235280641	12.00141802	9.83E-05	0.002498623	none	none
OTU28	1.480791386	11.38248984	0.000147507	0.00367232	none	none
OTU52	-1.83970659	11.11876437	0.000167387	0.004082188	none	none
OTU108	4.392588123	9.979470514	0.000174817	0.004178127	up	alpha
OTU2046	-1.245514176	11.9093403	0.000206662	0.004842369	none	none
OTU164	-2.767797949	10.35406086	0.000218962	0.005031912	down	alpha
OTU54	-1.492437845	11.51636816	0.000245903	0.005544406	none	none
OTU48	-1.796824327	11.09886103	0.000341499	0.007557243	none	none
