Var1,Var2,value
Module1,Module1,28318
Module2,Module1,5757
Module5,Module1,402
Module3,Module1,1200
Module4,Module1,1530
Module6,Module1,782
Module2,Module2,5350
Module5,Module2,402
Module3,Module2,841
Module4,Module2,582
Module6,Module2,466
Module5,Module5,3160
Module3,Module5,80
Module4,Module5,1
Module6,Module5,242
Module3,Module3,1380
Module4,Module3,382
Module6,Module3,188
Module4,Module4,1243
Module6,Module4,182
Module6,Module6,807
Module1,Module2,5757
Module1,Module5,402
Module1,Module3,1200
Module1,Module4,1530
Module1,Module6,782
Module2,Module5,402
Module2,Module3,841
Module2,Module4,582
Module2,Module6,466
Module5,Module3,80
Module5,Module4,1
Module5,Module6,242
Module3,Module4,382
Module3,Module6,188
Module4,Module6,182
