	ct1	ct2	ct3	ct4	ct5	ct6	yl1	yl2	yl3	yl4	yl5	yl6	ml1	ml2	ml3	ml4	ml5	ml6	xl1	xl2	xl3	xl4	xl5	xl6	hl1	hl2	hl3	hl4	hl5	hl6
OTU1	3	421	357	256	483	233	953	925	1130	242	25	209	1180	1109	1357	297	653	851	217	208	375	898	1282	1320	347	260	286	171	1066	981
OTU2	21	248	307	294	121	140	461	369	311	652	1208	824	73	48	44	42	66	80	292	274	163	178	285	325	177	57	45	86	226	267
OTU3	44	141	144	51	104	117	302	392	250	31	64	30	247	255	167	1002	1105	801	45	71	51	174	40	49	46	48	21	153	288	209
OTU4	1359	250	235	980	552	414	38	45	30	266	0	250	229	230	205	65	28	23	105	106	87	461	25	26	867	1008	677	198	86	65
OTU5	102	186	119	48	197	203	293	419	171	226	138	190	102	68	81	69	30	38	496	730	194	140	106	132	127	80	60	118	69	103
OTU6	0	0	0	0	1	0	2	0	0	18	0	26	25	28	38	3	4	8	15	17	18	15	0	0	557	758	1060	131	27	143
OTU7	299	232	282	332	57	298	154	83	140	122	385	189	103	137	93	49	35	30	254	91	283	95	21	21	51	49	37	65	27	18
OTU8	21	65	51	32	12	64	8	15	9	202	250	173	3	4	6	5	6	3	40	38	42	289	388	374	36	26	29	51	30	31
OTU9	7	94	124	63	58	80	89	76	30	26	5	36	197	214	180	339	532	548	18	14	2	78	198	293	39	33	27	56	189	150
OTU10	3	30	37	16	11	32	30	38	11	181	204	229	6	14	5	2	12	5	129	214	46	62	114	140	20	26	22	27	77	47
OTU11	4	22	17	6	13	16	28	33	5	28	10	34	109	148	191	12	87	129	58	55	7	65	87	62	52	62	54	36	307	307
OTU12	0	0	0	0	0	0	33	12	50	51	0	37	0	0	0	0	0	0	395	121	586	22	0	0	36	38	45	59	30	38
OTU13	71	125	103	101	139	65	28	16	16	54	10	43	20	21	19	52	7	5	42	29	35	27	2	1	6	21	15	109	9	4
OTU14	77	167	179	27	234	150	38	41	29	75	10	86	37	56	51	114	23	10	57	62	42	50	7	5	26	22	20	236	19	12
OTU15	1	26	18	19	10	14	44	47	29	30	49	40	15	20	11	14	11	18	37	44	16	17	26	21	22	15	11	24	19	34
OTU16	154	25	12	37	60	69	22	11	15	7	1	9	11	4	5	1	0	1	84	24	127	18	0	0	9	2	5	12	3	1
