	name	Id	Label	timeset	degree	closeness	eccentricity	strength	betweenness	evcent	module	pi	zi	kingdom	phylum	class	order	family	genus	species	centrality	marker1	marker2	marker3	marker4	marker5
1	OTU_1	OTU_1	NA	NA	10	2.37E-05	13	9.676350212	425	3.65E-14	8	0	-0.963650791	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_paurosaccharolyticus	-15.88151054	NA	2	NA	4	5
2	OTU_10	OTU_10	NA	NA	8	2.33E-05	15	7.698825577	0	6.78E-18	8	0	-1.187242968	k__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Erysipelatoclostridium	s__norank	-150.606124	NA	2	3	NA	5
3	OTU_100	OTU_100	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__unidentified_Bacteria	c__unidentified_Bacteria	o__Gemmatales	f__Gemmataceae	g__norank	s__norank	2.307866635	NA	2	3	4	5
4	OTU_1000	OTU_1000	NA	NA	146	8.60E-06	6	145.7057005	0.636795673	1	2	0	0.392344179	k__Bacteria	p__unidentified_Bacteria	c__Alphaproteobacteria	o__Tistrellales	f__Geminicoccaceae	g__norank	s__norank	NA	NA	NA	3	NA	NA
5	OTU_1001	OTU_1001	NA	NA	36	3.80E-06	3	35.83751711	0	5.42E-17	3	0	0.225918608	k__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Chloroplast	f__unidentified_Chloroplast	g__unidentified_Chloroplast	s__norank	0.054116302	1	2	3	NA	5
6	OTU_1002	OTU_1002	NA	NA	146	8.60E-06	6	145.7057005	0.636795673	1	2	0	0.392344179	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	NA	NA	NA	3	NA	NA
7	OTU_1003	OTU_1003	NA	NA	54	6.30E-06	7	53.94812556	3.481132075	1	2	1.11E-16	0.4594953	k__Bacteria	p__unidentified_Bacteria	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__norank	s__norank	NA	1	NA	NA	NA	NA
8	OTU_1004	OTU_1004	NA	NA	95	5.78E-06	8	94.94859063	0	1	21	0	0.169747988	k__Bacteria	p__Chloroflexi	c__Anaerolineae	o__RBG-13-54-9	f__norank	g__norank	s__norank	NA	NA	2	NA	NA	NA
9	OTU_1005	OTU_1005	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unidentified_Gammaproteobacteria	f__unidentified_Gammaproteobacteria	g__norank	s__norank	2.307866635	NA	NA	NA	4	5
10	OTU_1006	OTU_1006	NA	NA	95	5.78E-06	8	94.94859063	0	1	21	0	0.169747988	k__Bacteria	p__unidentified_Bacteria	c__Acidobacteriae	o__Acidobacteriales	f__norank	g__norank	s__norank	NA	NA	2	NA	NA	NA
11	OTU_101	OTU_101	NA	NA	36	3.80E-06	3	35.83751711	0	8.13E-17	3	0	0.225918608	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	0.054116302	NA	NA	NA	4	5
12	OTU_1010	OTU_1010	NA	NA	95	5.78E-06	8	94.94859063	0	1	21	0	0.169747988	k__Bacteria	p__unidentified_Bacteria	c__unidentified_Bacteria	o__Gemmatimonadales	f__Gemmatimonadaceae	g__norank	s__norank	NA	NA	2	NA	NA	NA
13	OTU_1011	OTU_1011	NA	NA	24	3.69E-06	1	24	0	0	9	0	NA	k__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__Desulfobaccaceae	g__Desulfobacca	s__norank	-0.043478261	1	NA	3	NA	5
14	OTU_1015	OTU_1015	NA	NA	14	5.32E-06	3	13.97618706	0	3.08E-16	5	1.11E-16	0.337405437	k__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__[Eubacterium]_nodatum_group	s__norank	NA	1	NA	NA	NA	NA
15	OTU_1017	OTU_1017	NA	NA	95	5.78E-06	8	94.94859063	0	1	21	0	0.169747988	k__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__11-24	f__norank	g__norank	s__norank	NA	NA	2	NA	NA	NA
16	OTU_102	OTU_102	NA	NA	71	1.54E-05	10	70.86088627	3.412320084	4.33E-09	2	0	0.535257834	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__norank	-0.023296404	NA	2	NA	4	NA
17	OTU_1022	OTU_1022	NA	NA	34	5.80E-06	1	34	0	0	5	0	NA	k__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__UCG-010	g__norank	s__norank	-0.03030303	NA	NA	NA	4	NA
18	OTU_1023	OTU_1023	NA	NA	24	3.69E-06	1	24	0	1.36E-17	9	0	NA	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__norank	-0.043478261	NA	NA	NA	NA	5
19	OTU_1024	OTU_1024	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__norank	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	2.307866635	NA	NA	NA	NA	5
20	OTU_1025	OTU_1025	NA	NA	248	2.45E-05	10	246.6538908	0.014285714	1	1	0.168281738	0.193605589	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank	2.307866635	NA	NA	NA	NA	5
21	OTU_1027	OTU_1027	NA	NA	30	5.96E-06	8	29.84718363	12.38461538	0	3	0	0.639230611	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Ahniella	s__norank	NA	NA	NA	3	NA	NA
22	OTU_1029	OTU_1029	NA	NA	95	5.78E-06	8	94.94859063	0	1	21	0	0.169747988	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__norank	s__norank	NA	NA	2	NA	NA	NA
23	OTU_103	OTU_103	NA	NA	11	2.34E-05	14	10.5902665	196	8.81E-16	8	0	-0.851854703	k__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__norank	s__norank	117.8163132	NA	2	NA	4	5
24	OTU_1033	OTU_1033	NA	NA	95	5.78E-06	8	94.94859063	0	1	21	0	0.169747988	k__Bacteria	p__unidentified_Bacteria	c__Acidobacteriae	o__Acidobacteriales	f__norank	g__norank	s__norank	NA	NA	2	NA	NA	NA
25	OTU_1034	OTU_1034	NA	NA	38	5.53E-06	2	37.94387981	0	0	5	0	0.216983186	k__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Streptobacillus	s__norank	NA	NA	NA	3	NA	NA
26	OTU_1036	OTU_1036	NA	NA	42	1.53E-05	10	41.87110553	6.012820513	6.21E-12	3	0	0.867202131	k__Bacteria	p__Planctomycetes	c__unidentified_Planctomycetes	o__Planctomycetales	f__Rubinisphaeraceae	g__SH-PL14	s__norank	-0.010120776	NA	2	NA	4	NA
27	OTU_1037	OTU_1037	NA	NA	22	5.40E-06	1	21.96832966	0	2.06E-16	7	0	NA	k__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__norank	g__norank	s__norank	NA	1	NA	NA	NA	NA
28	OTU_1039	OTU_1039	NA	NA	25	5.44E-06	1	24.97780241	0	0	6	0	NA	k__Bacteria	p__norank	c__norank	o__norank	f__norank	g__norank	s__norank	NA	1	NA	NA	NA	NA
29	OTU_104	OTU_104	NA	NA	11	2.34E-05	14	10.27751516	2069	5.80E-14	2	0	1.070373456	k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Rubritaleaceae	g__Luteolibacter	s__norank	7.859164896	NA	2	3	4	5
30	OTU_1040	OTU_1040	NA	NA	38	5.61E-06	1	38	0	0	4	0	NA	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseomonas	s__norank	NA	1	NA	NA	NA	NA
